,0,1,2
181,European Literature (German Literature) ,None,
182,Computer Science (Computers) ,None,
183,Astronomy (Planets) ,Space,
184,Military History (Civil War) ,War,
185,Cultural (Africa) ,None,
186,Music,None,
187,European Literature (Polish Literature) ,None,
188,Literature (19th Century) ,Historical,
189,Sci Fi Fantasy,Fantasy,
190,M M Romance (M M Science Fiction) ,Romance,
191,Cultural (African American) ,None,
192,Animals (Dinosaurs) ,None,
193,Science Fiction (Virtual Reality) ,Speculative,
194,Sequential Art,None,
195,Weird Fiction (New Weird) ,Fantasy,
196,Writing (Essays) ,None,
197,Environment,None,
198,Romance (Clean Romance) ,Romance,
199,Animals (Cats) ,None,
200,Holiday,None,
201,Horror (Lovecraftian) ,Horror,
202,Cultural (Australia) ,None,
203,M M Romance (M M Fantasy) ,Romance,Queer
204,Science (Physics) ,Speculative,
205,Futurism,Speculative,
206,Media Tie In (Tv) ,None,
207,Fairy Tales (Beauty and The Beast) ,Fantasy,
208,Culture (Film) ,None,
209,The United States Of America,None,
210,Westerns (Weird West) ,Adventure,
211,Death,Fantasy,
212,Fairy Tales (Fairy Tale Retellings) ,Fantasy,
213,Cultural (Asia) ,None,
214,Health (Mental Health) ,None,
215,Religion (Christianity) ,None,
216,Poetry,None,
217,Spirituality,None,
218,Science (Computer Science) ,None,
219,Menage (M M M) ,Romance,
220,Menage (M M F) ,Romance,
221,Love,Romance,
222,Literature (Russian Literature) ,None,
223,Military (Military History) ,War,
224,Mystery (Historical Mystery) ,Mystery,
225,Economics,None,
226,Own,None,
227,Graphic Novels Manga,None,
228,Young Adult (Young Adult Romance) ,Young Adult,
229,Kids,Childrens,
230,Young Adult (Young Adult Contemporary) ,Young Adult,
231,Literature (21st Century) ,None,
232,Literature (Asian Literature) ,None,
233,Romance (Romantic Suspense) ,Romance,
234,Environment (Nature) ,None,
235,Psychology,None,
236,Biography,None,
237,Sports (Sports) ,None,
238,Race,None,
239,Animals (Dogs) ,None,
240,Science (Astronomy) ,Space,
241,New York,None,
242,Sociology,None,
243,Mythology (Greek Mythology) ,Fantasy,
244,Religion (Faith) ,None,
245,Science (Popular Science) ,Speculative,
246,Historical Romance (Medieval Romance) ,Romance,
247,Book Club,None,
248,Disability,None,
249,Cultural (Poland) ,None,
250,Medical,None,
251,Fantasy (Unicorns) ,Fantasy,
252,Science (Mathematics) ,Speculative,
253,North American Hi... (American History) ,None,
254,Manga (Josei) ,None,
255,Mythology (Mermaids) ,Fantasy,
256,Plays,None,
257,Business,None,
258,Cultural (Ireland) ,None,
259,Academic (College) ,None,
260,Novels (Light Novel) ,None,
261,Science Fiction R... (Futuristic Romance) ,Romance,
262,LGBT (Transgender) ,Queer,
263,Literature (Jewish) ,None,
264,Roman,Historical,
265,Womens,None,
266,Academic (Read For School) ,None,
267,M M Romance (M M Paranormal) ,Romance,
268,Science Fiction (Climate Change Fiction) ,Speculative,
269,Banking (Banks) ,None,
270,Mental Health (Mental Illness) ,None,
271,Gay Romance (Gay For You) ,Queer,
272,European Literature (French Literature) ,None,
273,Science Fiction (Planetary Romance) ,Space,
274,Mythology (Arthurian) ,Mystery,
275,School Stories (Boarding School) ,None,
276,Manga (Shojo) ,None,
277,Folklore (Monsters) ,Horror,
278,Environment (Climate Change) ,Speculative,
279,Science (Engineering) ,None,
280,Humanities (Language) ,None,
281,Polyamory,Romance,
282,Literature (17th Century) ,None,
283,Cultural (Germany) ,None,
284,American History (American Civil War) ,War,
285,Dc Comics (Batman) ,None,
286,Media Tie In (Anime) ,None,
287,Biology (Evolution) ,None,
288,Computers (Hackers) ,None,
289,Language (Writing) ,None,
290,Media Tie In (Star Trek) ,None,
291,Gender,Queer,
292,Pseudoscience (Conspiracy Theories) ,None,
293,Warriors,War,
294,Cultural (Italy) ,None,
295,Anthropology,None,
296,Mythology (Gods) ,Fantasy,
297,Urban,None,
298,Yaoi (Boys Love) ,Queer,
299,Science (Biology) ,None,
300,Science Fiction (Utopia) ,Dystopia,
301,Couture (Fashion) ,None,
302,Art (Crafts) ,None,
303,War (World War I) ,War,
304,Cultural (India) ,None,
305,World War II (Holocaust) ,War,
306,Sexuality,Queer,
307,Biology (Ecology) ,None,
308,United States,None,
309,War (Terrorism) ,War,
310,Philosophy (Theory) ,None,
311,Computer Science (Coding) ,None,
312,Relationships,Romance,
313,Young Adult (Young Adult Paranormal) ,Young Adult,Paranormal
314,Young Adult (Young Adult Historical Fiction) ,Young Adult,Historical
315,Military History (American Revolution) ,War,
316,European Literature (Spanish Literature) ,None,
317,Cultural (Sweden) ,None,
318,Reference (Research) ,None,
319,Horror (Bizarro Fiction) ,Horror,
320,Culture (Pop Culture) ,None,
321,Gaming (Gaming Fiction) ,None,
322,Childrens (1st Grade) ,Childrens,
323,How To,None,
324,Marvel (X Men) ,None,
325,Romance (Western Romance) ,Romance,
326,Autobiography (Memoir) ,None,
327,Biography (Autobiography) ,None,
328,LGBT (Asexual) ,Queer,
329,Romance (Interracial Romance) ,Romance,
330,Menage (Multiple Partners) ,Romance,
331,History (World History) ,War,
332,English History (Tudor Period) ,Historical,
333,Dc Comics (Superman) ,None,
334,European Literature (Finnish Literature) ,None,
335,Literature (Ancient) ,Historical,
336,Sports (Baseball) ,None,
337,Lovecraftian (Cthulhu Mythos) ,Horror,
338,M M Romance (M M Historical Romance) ,Romance,Queer
339,Pop Culture (Nerd) ,None,
340,Criticism (Literary Criticism) ,None,
341,Computer Science (Programming) ,None,
342,Academic,None,
343,European Literature (Czech Literature) ,None,
344,Northern Africa (Egypt) ,None,
345,Classics (Classic Literature) ,None,
346,Animals (Horses) ,None,
347,Food and Drink (Food) ,None,
348,Medieval Romance (Viking Romance) ,Romance,Historical
349,Science Fiction (Sword and Planet) ,Fantasy,
350,Historical Fiction (Prehistoric) ,Historical,
351,Literature (16th Century) ,Historical,
352,Politics (Presidents) ,None,
353,History (Archaeology) ,Historical,
354,Heroic Fantasy (Sword and Sorcery) ,Fantasy,
355,Fantasy (Elves) ,Fantasy,
356,Fan Fiction,None,
357,Science Fiction (Dying Earth) ,Apocalyptic,
358,Religion (Cults) ,None,
359,Surreal,Paranormal,
360,Games (Gamebooks) ,None,
361,Crime (True Crime) ,Mystery,
362,European Literature (Swedish Literature) ,None,
363,Asian Literature (Chinese Literature) ,None,
364,Biography Memoir,None,
365,Criticism,None,
366,Military History (Naval History) ,War,
367,Animals (Birds) ,None,
368,Childrens (Pre K) ,Childrens,
369,Culture (Society) ,None,
370,Gamebooks (Choose Your Own Adventure) ,None,
371,Fairy Tales (Cinderella) ,Fantasy,
372,Aircraft (Airships) ,War,
373,Historical Romance (Regency Romance) ,Romance,Historical
374,Western Africa (Nigeria) ,None,
375,Modern,None,
376,Wildlife,None,
377,Fairy Tales (Fractured Fairy Tales) ,Fantasy,
378,Humanities (Linguistics) ,None,
379,Religion (Judaism) ,None,
