,url,publication_dt,byline,book_title,book_author,summary,uuid,uri,isbn13
2,http://www.nytimes.com/2007/04/25/books/25wals.html,2007-04-25,S. KIRK WALSH,Flight,Sherman Alexie,"Echoing the tragic events last week at Virginia Tech, Sherman Alexie’s latest novel, “Flight,” features a young, edgy outcast named Zits on the verge of colossal violence.",00000000-0000-0000-0000-000000000000,nyt://book/00000000-0000-0000-0000-000000000000,['9780802170378']
3,http://www.nytimes.com/2007/05/27/books/review/Barbash2-t.html,2007-05-27,TOM BARBASH,Flight,Sherman Alexie,"An orphan time-travels to key moments in Indian history, in search of his father.",00000000-0000-0000-0000-000000000000,nyt://book/00000000-0000-0000-0000-000000000000,['9780802170378']
4,http://www.nytimes.com/2012/11/25/books/review/blasphemy-by-sherman-alexie.html,2012-11-25,JESS ROW,Blasphemy,Sherman Alexie,Sherman Alexie’s stories explore the dissonance and alienation of contemporary Native American life.,00000000-0000-0000-0000-000000000000,nyt://book/00000000-0000-0000-0000-000000000000,['9780802121752']
5,http://www.nytimes.com/2003/05/26/books/books-of-the-times-where-the-men-are-manly-and-the-indians-bemused.html,2003-05-26,JANET MASLIN,Ten Little Indians,Sherman Alexie,,00000000-0000-0000-0000-000000000000,nyt://book/00000000-0000-0000-0000-000000000000,['9780802117441']
0,http://www.nytimes.com/2013/08/18/books/review/night-film-by-marisha-pessl.html,2013-08-18,JOE HILL,Night Film,Marisha Pessl,A group of investigators pursues a horror auteur known for shunning the public eye.,00000000-0000-0000-0000-000000000000,nyt://book/00000000-0000-0000-0000-000000000000,['9780812979787']
1,http://www.nytimes.com/2013/08/15/books/night-film-is-marisha-pessls-new-novel.html,2013-08-15,JANET MASLIN,Night Film,Marisha Pessl,"“Night Film,” Marisha Pessl’s follow-up to her first novel, “Special Topics in Calamity Physics,” focuses on a mad genius filmmaker.",00000000-0000-0000-0000-000000000000,nyt://book/00000000-0000-0000-0000-000000000000,['9780812979787']
2,http://www.nytimes.com/2006/08/13/books/review/13cover.html,2006-08-13,Review by LIESL SCHILLINGER,Special Topics in Calamity Physics,Marisha Pessl,Never mind jealous detractors: virtuosity is its own reward. And Marisha Pessl’s skylarking book will leave readers salivating for more.,00000000-0000-0000-0000-000000000000,nyt://book/00000000-0000-0000-0000-000000000000,['9780143112129']
3,http://www.nytimes.com/2006/07/31/books/31masl.html,2006-07-31,JANET MASLIN,Special Topics in Calamity Physics,Marisha Pessl,Ms. Pessl’s  first novel is the most flashily erudite first novel since Jonathan Safran Foer’s “Everything Is Illuminated.”,00000000-0000-0000-0000-000000000000,nyt://book/00000000-0000-0000-0000-000000000000,['9780670037773']
0,http://www.nytimes.com/2013/11/10/books/review/this-song-will-save-your-life-by-leila-sales.html,2013-11-10,JEN DOLL,This Song Will Save Your Life,Leila Sales,An underground club scene becomes a refuge for Leila Sales’s ostracized teenage heroine.,00000000-0000-0000-0000-000000000000,nyt://book/00000000-0000-0000-0000-000000000000,['9780374351380']
0,http://www.nytimes.com/2010/05/09/books/review/Wallace-t.html,2010-05-09,DANIEL WALLACE,Many Deaths of the Firefly Brothers,Thomas Mullen,,00000000-0000-0000-0000-000000000000,nyt://book/00000000-0000-0000-0000-000000000000,['9781588369710']
1,http://www.nytimes.com/2006/09/03/books/review/Byrd.t.html,2006-09-03,MAX BYRD,The Last Town on Earth,Thomas Mullen,This first novel is set in a village that imposes a quarantine against the 1918 flu epidemic.,00000000-0000-0000-0000-000000000000,nyt://book/00000000-0000-0000-0000-000000000000,['9780812975925']
0,http://www.nytimes.com/2005/05/22/books/review/22SHONEL.html,2005-05-22,TOM SHONE,Haunted,Chuck Palahniuk,,00000000-0000-0000-0000-000000000000,nyt://book/00000000-0000-0000-0000-000000000000,['9780739345689']
1,http://www.nytimes.com/2003/08/31/books/beyond-the-fringe.html,2003-08-31,TAYLOR ANTRIM,"Fugitives and Refugees : A Walk in Portland, Oregon",Chuck Palahniuk,,00000000-0000-0000-0000-000000000000,nyt://book/00000000-0000-0000-0000-000000000000,['9780307420756']
2,http://www.nytimes.com/2011/10/20/books/damned-by-chuck-palahniuk-review.html,2011-10-20,JANET MASLIN,Damned,Chuck Palahniuk,“Damned” is a book full of tastelessly hilarious gallows humor about a teenage girl in hell.,00000000-0000-0000-0000-000000000000,nyt://book/00000000-0000-0000-0000-000000000000,"['9780307476531', '9780385533027', '9780385533140', '9781409041290', '9781441792815', '9781441792822']"
3,http://www.nytimes.com/2008/06/08/books/review/Ellmann-t.html,2008-06-08,LUCY ELLMANN,Snuff,Chuck Palahniuk,"In Chuck Palahniuk’s latest, a porn star wants to perform with 600 men.",00000000-0000-0000-0000-000000000000,nyt://book/00000000-0000-0000-0000-000000000000,['9780307275844']
4,http://www.nytimes.com/2001/05/24/books/books-of-the-times-an-immature-con-man-with-a-mom-problem.html,2001-05-24,JANET MASLIN,Choke,Chuck Palahniuk,,00000000-0000-0000-0000-000000000000,nyt://book/00000000-0000-0000-0000-000000000000,['9780385501569']
5,http://www.nytimes.com/2001/05/27/books/books-in-brief-fiction-368032.html,2001-05-27,JENNIFER REESE,Choke,Chuck Palahniuk,,00000000-0000-0000-0000-000000000000,nyt://book/00000000-0000-0000-0000-000000000000,['9780385501569']
6,http://www.nytimes.com/2002/09/12/books/books-of-the-times-a-seller-of-unreal-estate-creepy-is-as-creepy-does.html,2002-09-12,JANET MASLIN,Lullaby: A Novel,Chuck Palahniuk,,00000000-0000-0000-0000-000000000000,nyt://book/00000000-0000-0000-0000-000000000000,['9780385504478']
7,http://www.nytimes.com/2002/10/20/books/name-that-tune.html,2002-10-20,VIRGINIA HEFFERNAN,Lullaby: A Novel,Chuck Palahniuk,,00000000-0000-0000-0000-000000000000,nyt://book/00000000-0000-0000-0000-000000000000,['9780385504478']
8,http://www.nytimes.com/2003/09/04/books/books-of-the-times-two-people-in-comas-but-one-s-still-awake.html,2003-09-04,JANET MASLIN,Diary: A Novel,Chuck Palahniuk,,00000000-0000-0000-0000-000000000000,nyt://book/00000000-0000-0000-0000-000000000000,['9780385509473']
9,http://www.nytimes.com/2004/06/14/books/books-of-the-times-the-enduring-charm-of-freaky-violence.html,2004-06-14,JANET MASLIN,Stranger Than Fiction: True Stories,Chuck Palahniuk,,00000000-0000-0000-0000-000000000000,nyt://book/00000000-0000-0000-0000-000000000000,['9780385504485']
10,http://www.nytimes.com/2005/05/05/books/review/05masl.html,2005-05-05,JANET MASLIN,Haunted : A Novel of Stories,Chuck Palahniuk,,00000000-0000-0000-0000-000000000000,nyt://book/00000000-0000-0000-0000-000000000000,['9780385509480']
11,http://www.nytimes.com/2007/05/07/books/07masl.html,2007-05-07,JANET MASLIN,Rant,Chuck Palahniuk,"In “Rant,” Chuck Palahniuk’s new tricks are old tricks, executed by a writer recycling his best gambits for less and less coherent reasons.",00000000-0000-0000-0000-000000000000,nyt://book/00000000-0000-0000-0000-000000000000,['9780385517874']
12,http://www.nytimes.com/2007/06/03/books/review/Maloney-t.html,2007-06-03,FIELD MALONEY,Rant,Chuck Palahniuk,"Chuck Palahniuk is back, with the legend of a rabid folk hero who dies in a fiery car crash.",00000000-0000-0000-0000-000000000000,nyt://book/00000000-0000-0000-0000-000000000000,['9780385517874']
0,http://www.nytimes.com/1989/09/24/books/sisters-and-their-secrets.html,1989-09-24,HILMA WOLITZER,Widows' Adventures,Charles Dickinson,,00000000-0000-0000-0000-000000000000,nyt://book/00000000-0000-0000-0000-000000000000,['9780380708475']
1,http://www.nytimes.com/1987/05/02/books/books-of-the-times-the-dispossessed.html,1987-05-02,MICHIKO KAKUTANI,With or Without and Other Stories,Charles Dickinson,,00000000-0000-0000-0000-000000000000,nyt://book/00000000-0000-0000-0000-000000000000,['9780394554921']
2,http://www.nytimes.com/1987/06/21/books/board-games-are-safer-than-marriage.html,1987-06-21,RICHARD PERRY,With or Without and Other Stories,Charles Dickinson,,00000000-0000-0000-0000-000000000000,nyt://book/00000000-0000-0000-0000-000000000000,['9780394554921']
3,http://www.nytimes.com/1989/09/13/books/books-of-the-times-on-a-cross-country-drive-with-a-blind-elderly-driver.html,1989-09-13,EVA HOFFMAN,Widows' Adventures: A Novel,Charles Dickinson,,00000000-0000-0000-0000-000000000000,nyt://book/00000000-0000-0000-0000-000000000000,['9780688089245']
4,http://www.nytimes.com/1991/01/20/books/a-scoop-before-dying.html,1991-01-20,DAVID MURRAY,Rumor Has It,Charles Dickinson,,00000000-0000-0000-0000-000000000000,nyt://book/00000000-0000-0000-0000-000000000000,['9780688102258']
